id_post;Hora;Canal;Formato;Alcance;Interacciones;Reproducciones;Duracion_video;DM;Retencion;Visitas_perfil;Link_bio;Visitas_producto;Carrito;Compras;Valor_compra;Contacto;Inversion;ROI;Engagement;CPC;Unnamed: 23;Ruta;Fecha;Imagen
POST_103;11:05:51;TikTok;Imagen;16561;1474;Sin datos;Sin datos;9;Sin datos;306;50;96;50;11;414.11;2;707.49;1.36;0.11;1.44;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_103.jpg;2024-10-05;IMG_103.jpg
POST_149;19:09:38;Facebook;Carrusel;47035;666;Sin datos;Sin datos;61;Sin datos;474;2;145;11;18;223.67;2;608.69;1.08;38.0;0.15;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_149.jpg;2025-06-23;IMG_149.jpg
POST_36;00:46:18;Instagram;Reel;27752;3042;2616;251;74;0.71;60;29;52;39;8;200.81;0;0.0;3.26;137.0;0.66;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_36.jpg;2025-01-18;IMG_36.jpg
POST_82;23:45:40;Facebook;Imagen;5477;55;Sin datos;Sin datos;52;Sin datos;226;5;46;49;0;150.38;2;594.34;2.16;83.0;1.2;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_82.jpg;2025-07-07;IMG_82.jpg
POST_165;18:52:55;Facebook;Imagen;39821;1153;Sin datos;Sin datos;89;Sin datos;385;23;150;20;12;416.3;6;208.86;3.03;63.0;0.89;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_165.jpg;2024-09-27;IMG_165.jpg
POST_78;08:14:14;Instagram;Reel;31335;318;5691;194;19;0.82;342;43;136;40;17;164.52;4;0.0;3.55;141.0;1.17;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_78.jpg;2024-12-17;IMG_78.jpg
POST_145;17:26:53;Twitter;Reel;6415;894;294;196;59;0.74;163;27;63;2;19;49.34;3;448.07;2.52;95.0;0.31;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_145.jpg;2025-03-04;IMG_145.jpg
POST_134;06:24:45;Instagram;Carrusel;14255;2682;Sin datos;Sin datos;83;Sin datos;385;24;61;36;2;498.17;3;192.12;0.8;102.0;0.89;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_134.jpg;2025-04-24;IMG_134.jpg
POST_174;03:55:57;Facebook;Reel;44788;2558;551;122;97;0.71;218;7;12;12;4;149.64;0;881.04;1.07;12.0;1.07;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_174.jpg;2025-01-27;IMG_174.jpg
POST_7;05:01:20;TikTok;Reel;13028;1755;8949;239;56;0.4;138;48;69;43;0;405.31;7;558.01;1.03;138.0;1.78;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_7.jpg;2024-10-13;IMG_7.jpg
POST_47;05:56:32;TikTok;Imagen;41422;1633;Sin datos;Sin datos;9;Sin datos;451;37;82;2;8;425.3;2;0.0;1.68;112.0;0.71;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_47.jpg;2025-01-14;IMG_47.jpg
POST_133;05:38:03;Instagram;Carrusel;24576;3863;Sin datos;Sin datos;43;Sin datos;54;6;116;19;5;484.77;8;468.47;3.64;51.0;0.69;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_133.jpg;2024-09-18;IMG_133.jpg
POST_41;15:36:15;Instagram;Reel;40213;1442;7352;186;63;0.57;154;34;168;19;15;282.56;8;290.18;2.05;135.0;1.47;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_41.jpg;2025-03-18;IMG_41.jpg
POST_75;19:58:29;TikTok;Imagen;37126;3571;Sin datos;Sin datos;12;Sin datos;226;23;130;24;7;442.04;4;0.0;3.57;43.0;1.65;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_75.jpg;2025-06-27;IMG_75.jpg
POST_149;09:48:05;TikTok;Reel;16296;13;8534;233;98;0.16;132;44;126;27;2;415.83;5;398.14;1.14;39.0;2.0;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_149.jpg;2025-06-23;IMG_149.jpg
POST_102;09:30:35;Facebook;Carrusel;32138;2103;Sin datos;Sin datos;88;Sin datos;10;14;179;23;13;28.22;4;642.5;0.58;115.0;0.94;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_102.jpg;2025-03-23;IMG_102.jpg
POST_52;09:14:22;Twitter;Imagen;18239;396;Sin datos;Sin datos;12;Sin datos;400;47;198;44;1;290.36;0;0.0;2.83;78.0;0.92;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_52.jpg;2025-07-15;IMG_52.jpg
POST_35;17:51:18;Facebook;Imagen;22717;2188;Sin datos;Sin datos;83;Sin datos;140;47;125;26;7;355.22;2;0.0;3.02;51.0;1.79;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_35.jpg;2025-03-28;IMG_35.jpg
POST_172;21:03:26;Instagram;Reel;5346;3396;6758;241;69;0.7;77;48;136;8;19;292.16;6;230.42;3.08;103.0;0.11;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_172.jpg;2025-04-03;IMG_172.jpg
POST_34;10:47:33;Instagram;Reel;35874;4927;5367;104;1;0.64;189;0;160;38;8;11.52;0;559.65;1.77;102.0;1.82;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_34.jpg;2024-11-16;IMG_34.jpg
POST_58;03:31:05;Instagram;Imagen;17404;3389;Sin datos;Sin datos;22;Sin datos;107;13;50;43;4;442.86;9;236.66;4.24;62.0;0.51;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_58.jpg;2025-05-28;IMG_58.jpg
POST_86;18:44:14;Instagram;Carrusel;2536;2254;Sin datos;Sin datos;44;Sin datos;197;3;179;14;18;489.0;4;837.6;3.59;57.0;1.08;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_86.jpg;2025-04-19;IMG_86.jpg
POST_105;10:08:54;Facebook;Imagen;8607;967;Sin datos;Sin datos;13;Sin datos;410;1;122;30;18;16.29;9;0.0;0.61;45.0;1.96;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_105.jpg;2025-04-14;IMG_105.jpg
POST_173;13:18:04;Facebook;Imagen;35767;4191;Sin datos;Sin datos;22;Sin datos;144;22;52;6;6;103.74;10;155.21;2.52;72.0;1.83;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_173.jpg;2025-03-25;IMG_173.jpg
POST_9;21:39:16;Twitter;Imagen;34503;155;Sin datos;Sin datos;12;Sin datos;468;27;38;21;8;488.29;3;921.38;3.06;96.0;1.86;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_9.jpg;2025-06-03;IMG_9.jpg
POST_188;05:36:40;Twitter;Carrusel;841;2652;Sin datos;Sin datos;45;Sin datos;380;32;97;14;3;142.17;1;104.04;1.6;23.0;0.6;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_188.jpg;2025-04-22;IMG_188.jpg
POST_175;10:55:20;Instagram;Reel;14781;4131;3195;47;79;0.27;410;40;81;50;13;447.79;0;147.21;4.63;37.0;0.47;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_175.jpg;2024-10-09;IMG_175.jpg
POST_7;17:34:29;Twitter;Reel;44931;2832;294;108;83;0.6;19;30;19;37;7;109.77;0;0.0;2.2;42.0;1.7;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_7.jpg;2024-10-13;IMG_7.jpg
POST_64;19:10:41;TikTok;Carrusel;31960;3252;Sin datos;Sin datos;78;Sin datos;17;18;69;43;18;188.43;4;410.77;2.7;54.0;1.07;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_64.jpg;2025-02-16;IMG_64.jpg
POST_21;17:06:34;Twitter;Imagen;17867;3305;Sin datos;Sin datos;28;Sin datos;161;20;13;22;1;252.9;0;976.63;3.23;148.0;0.12;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_21.jpg;2025-07-18;IMG_21.jpg
POST_52;06:05:12;TikTok;Imagen;4133;2353;Sin datos;Sin datos;34;Sin datos;130;14;11;35;3;262.69;2;608.83;3.24;58.0;0.39;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_52.jpg;2025-07-15;IMG_52.jpg
POST_159;14:38:01;TikTok;Imagen;922;4760;Sin datos;Sin datos;9;Sin datos;253;48;75;28;5;256.65;9;917.5;2.69;28.0;0.9;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_159.jpg;2025-04-01;IMG_159.jpg
POST_79;08:57:12;Facebook;Carrusel;20895;2596;Sin datos;Sin datos;12;Sin datos;44;36;104;4;10;444.05;7;578.35;1.5;54.0;0.39;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_79.jpg;2024-11-14;IMG_79.jpg
POST_199;14:22:35;TikTok;Reel;42368;4515;1773;245;54;0.15;88;22;134;7;5;433.52;2;0.0;4.46;51.0;1.06;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_199.jpg;2024-12-12;IMG_199.jpg
POST_50;07:32:32;Twitter;Reel;5694;4583;971;123;14;0.43;183;9;80;31;7;451.81;4;0.0;2.22;73.0;0.26;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_50.jpg;2025-04-25;IMG_50.jpg
POST_9;18:35:25;Twitter;Reel;28889;1096;2800;238;32;0.24;153;47;98;29;14;187.45;6;0.0;3.7;13.0;0.45;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_9.jpg;2025-06-03;IMG_9.jpg
POST_20;10:28:42;Twitter;Imagen;38384;4304;Sin datos;Sin datos;38;Sin datos;233;20;3;48;8;159.14;1;0.0;1.94;147.0;0.8;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_20.jpg;2025-04-17;IMG_20.jpg
POST_116;14:29:30;Instagram;Imagen;37347;382;Sin datos;Sin datos;56;Sin datos;175;38;151;4;12;142.82;8;578.35;1.04;27.0;1.14;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_116.jpg;2025-05-03;IMG_116.jpg
POST_196;21:17:32;Twitter;Carrusel;31602;1185;Sin datos;Sin datos;95;Sin datos;21;7;147;10;16;136.99;9;0.0;1.67;43.0;1.53;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_196.jpg;2024-09-09;IMG_196.jpg
POST_87;19:43:27;Instagram;Carrusel;8231;848;Sin datos;Sin datos;45;Sin datos;297;3;137;26;12;372.66;5;166.71;2.06;43.0;1.84;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_87.jpg;2025-02-20;IMG_87.jpg
POST_57;10:51:20;TikTok;Reel;11700;2683;231;39;74;0.73;313;9;93;44;19;484.06;5;718.7;2.27;87.0;0.82;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_57.jpg;2025-07-01;IMG_57.jpg
POST_121;05:05:55;Facebook;Carrusel;12053;1745;Sin datos;Sin datos;98;Sin datos;115;22;26;25;16;283.73;7;831.08;1.9;127.0;0.19;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_121.jpg;2025-01-01;IMG_121.jpg
POST_51;09:39:38;Twitter;Imagen;32950;101;Sin datos;Sin datos;86;Sin datos;242;29;152;24;12;208.27;6;0.0;1.02;116.0;1.04;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_51.jpg;2025-02-21;IMG_51.jpg
POST_109;10:53:25;TikTok;Carrusel;21662;394;Sin datos;Sin datos;5;Sin datos;401;15;64;48;13;245.52;1;913.87;3.11;55.0;0.26;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_109.jpg;2025-03-14;IMG_109.jpg
POST_32;19:09:46;Facebook;Imagen;6106;1344;Sin datos;Sin datos;77;Sin datos;302;49;141;47;6;273.26;3;0.0;3.18;107.0;0.9;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_32.jpg;2025-06-16;IMG_32.jpg
POST_140;23:05:03;Facebook;Imagen;10365;201;Sin datos;Sin datos;63;Sin datos;316;42;105;8;7;322.91;6;0.0;4.13;106.0;0.22;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_140.jpg;2025-06-05;IMG_140.jpg
POST_119;07:50:45;Instagram;Imagen;16968;459;Sin datos;Sin datos;47;Sin datos;429;14;30;35;7;310.62;4;576.05;1.24;15.0;1.12;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_119.jpg;2025-05-15;IMG_119.jpg
POST_127;04:07:43;Twitter;Imagen;1145;803;Sin datos;Sin datos;42;Sin datos;319;36;17;49;6;390.82;8;334.19;2.07;136.0;1.17;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_127.jpg;2025-01-12;IMG_127.jpg
POST_62;08:02:41;Instagram;Reel;48329;3963;9753;230;54;0.36;92;28;157;29;17;279.08;9;0.0;1.03;63.0;0.1;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_62.jpg;2024-12-02;IMG_62.jpg
POST_176;09:10:07;TikTok;Imagen;7805;4511;Sin datos;Sin datos;76;Sin datos;227;40;26;12;5;419.77;8;97.3;4.24;34.0;1.48;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_176.jpg;2025-04-12;IMG_176.jpg
POST_143;09:02:31;TikTok;Imagen;5181;194;Sin datos;Sin datos;48;Sin datos;43;22;74;13;12;25.7;6;121.1;2.32;132.0;1.98;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_143.jpg;2024-12-28;IMG_143.jpg
POST_138;03:26:17;Facebook;Reel;47750;2833;4417;188;58;0.87;90;12;74;44;14;151.37;3;415.25;1.09;74.0;0.63;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_138.jpg;2025-04-12;IMG_138.jpg
POST_188;09:20:27;Instagram;Reel;6423;1505;8365;220;25;0.82;206;35;123;35;8;156.09;9;777.46;0.5;14.0;0.39;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_188.jpg;2025-04-22;IMG_188.jpg
POST_102;22:47:40;TikTok;Carrusel;24468;4211;Sin datos;Sin datos;1;Sin datos;314;29;119;24;1;234.83;3;283.57;1.94;147.0;0.81;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_102.jpg;2025-03-23;IMG_102.jpg
POST_182;01:56:20;Facebook;Reel;1416;1129;5597;244;85;0.21;336;24;56;39;9;320.52;8;757.16;1.59;115.0;0.67;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_182.jpg;2025-03-29;IMG_182.jpg
POST_3;17:23:56;Twitter;Reel;13310;55;1026;243;36;0.39;295;17;40;46;10;283.5;9;565.65;4.54;14.0;0.17;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_3.jpg;2024-10-29;IMG_3.jpg
POST_146;11:57:11;Facebook;Carrusel;46317;2159;Sin datos;Sin datos;89;Sin datos;333;2;69;7;14;340.44;10;439.94;2.29;66.0;0.87;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_146.jpg;2025-04-05;IMG_146.jpg
POST_67;11:41:21;Twitter;Imagen;25537;661;Sin datos;Sin datos;93;Sin datos;158;28;7;38;13;377.15;0;930.98;3.35;148.0;0.46;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_67.jpg;2025-04-30;IMG_67.jpg
POST_124;06:25:34;Facebook;Carrusel;5925;4468;Sin datos;Sin datos;84;Sin datos;369;32;190;14;3;359.08;10;715.08;2.82;148.0;1.48;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_124.jpg;2025-04-09;IMG_124.jpg
POST_177;17:47:31;Twitter;Carrusel;45861;1211;Sin datos;Sin datos;91;Sin datos;177;10;59;39;5;259.49;3;991.06;3.03;32.0;1.51;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_177.jpg;2024-11-23;IMG_177.jpg
POST_118;06:28:57;TikTok;Imagen;31927;182;Sin datos;Sin datos;85;Sin datos;332;33;79;28;14;58.54;4;694.68;3.84;39.0;0.95;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_118.jpg;2025-01-05;IMG_118.jpg
POST_151;10:33:11;Instagram;Carrusel;15306;921;Sin datos;Sin datos;6;Sin datos;162;3;163;41;16;464.51;8;456.44;1.62;87.0;0.43;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_151.jpg;2025-05-09;IMG_151.jpg
POST_76;06:38:21;Twitter;Reel;18373;3280;7982;245;11;0.33;226;42;90;49;1;478.05;8;416.27;2.54;144.0;0.37;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_76.jpg;2025-04-17;IMG_76.jpg
POST_198;18:26:25;Twitter;Carrusel;2339;1032;Sin datos;Sin datos;75;Sin datos;464;4;171;34;8;399.95;3;796.53;1.15;59.0;1.89;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_198.jpg;2025-04-07;IMG_198.jpg
POST_185;15:07:35;Facebook;Carrusel;13326;3866;Sin datos;Sin datos;96;Sin datos;34;16;2;6;1;475.56;3;90.38;1.29;61.0;1.76;;/Users/n.arcos89/Desktop/Bootcamp_Data/DIVA_DIGITAL_Proyecto Final/imagenes_descargadas/IMG_185.jpg;2025-01-08;IMG_185.jpg
